Sağlanan Şartlar,Score %
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",118.02
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",115.32
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",114.41
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",114.41
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",111.71
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",111.71
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",111.71
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",110.81
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",109.01
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",109.01
